station_code,location,,,state,,,temperature_(0_c),,dissolved_oxygen_(mg/_l),,ph,,conductivity_(µmho/_cm),,,bio-chemical,,,nitrate_(mg/_l),,faecal_coliform_(mpn/_100_ml),,,,total_coliform_(mpn/_100_ml),
,,"DAM, VILLAGE- ISAPUR,TALUKA-",,,,,,,,,,,,,,,,,,,,,,,,
,,"PUSAD,DISTRICT- YAVATMAL.",,,,,,,,,,,,,,,,,,,,,,,,
2699,,PENGANGA RIVER AT MEHKAR -,,MAHARASHTRA,,,20.0,,,27.0,,,4.0,,,6.3,,,7.7,,,8.1,,,482,
,,BULDANA BRIDGE-AKOLA,,,,,,,,,,,,,,,,,,,,,,,,
2722,,WENA RIVER AT U/S OF MOHATA,,MAHARASHTRA,,,22.0,,,31.0,,,4.5,,,7.5,,,7.3,,,8.4,,,478,
,,"MILLS, NEAR RAILWAY BRIDGE ON",,,,,,,,,,,,,,,,,,,,,,,,
,,WARDHA – CHANDRAPUR,,,,,,,,,,,,,,,,,,,,,,,,
"Station
Code",LOCATION,,,STATE,"Temperature
(0 C)",,,,,,,Dissolved,,,,,pH,,,,,,"Conductivity
(µmho/ Cm)",,,
,,,,,,,,,,,,Oxygen,,,,,,,,,,,,,,
,,,,,,,,,,,,(mg/ L),,,,,,,,,,,,,,
,,,,,,,,,,,> 5.0 mg/ L,,,,,,6.5 - 8.5,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Min,,,Max,,,Min,,,Max,,,Min,,,Max,,,Min,,
,,"RAILWAY LINE, VILLAGE-",,,,,,,,,,,,,,,,,,,,,,,,
,,"HINGANGHAT, TALUKA-",,,,,,,,,,,,,,,,,,,,,,,,
,,"HINGANGHAT, DISTRICT- WARDHA.",,,,,,,,,,,,,,,,,,,,,,,,
2723,,WENA RIVER AT D/S OF MOHATA,,MAHARASHTRA,22.0,,,31.0,,,3.5,,,7.8,,,7.3,,,8.3,,,500,,,1450
,,"MILLS, NEAR BRIDGE ON",,,,,,,,,,,,,,,,,,,,,,,,
,,"HINGANGHAT- WADNER ROAD,",,,,,,,,,,,,,,,,,,,,,,,,
,,"VILLAGE- HINGANGHAT, TALUKA-",,,,,,,,,,,,,,,,,,,,,,,,
,,"HINGANGHAT, DISTRICT-",,,,,,,,,,,,,,,,,,,,,,,,
,,WARDHA.,,,,,,,,,,,,,,,,,,,,,,,,
1908,,KOLAR RIVER BEFORE CONFLUENCE,,MAHARASHTRA,25.0,,,32.0,,,3.3,,,6.7,,,7.2,,,8.5,,,581,,,1800
,,WITH KANHAN RIVER AT,,,,,,,,,,,,,,,,,,,,,,,,
,,"WAREGAON BRIDGE, VILLAGE-",,,,,,,,,,,,,,,,,,,,,,,,
,,"WAREGAON, TALUKA-KAMPTEE,",,,,,,,,,,,,,,,,,,,,,,,,
,,DISTRICT-NAGPUR.,,,,,,,,,,,,,,,,,,,,,,,,
1913,,PURNA RIVER AT DHUPESHWAR AT,,MAHARASHTRA,22.0,,,30.0,,,3.8,,,7.2,,,6.7,,,8.2,,,366,,,2550
,,D/S OF MANKAPUR DIST-BULDANA,,,,,,,,,,,,,,,,,,,,,,,,
2660,,DARNA RIVER AT CHEHEDI WATER,,MAHARASHTRA,17.0,,,34.0,,,5.4,,,6.6,,,7.3,,,8.4,,,242,,,658
,,"WORKS (PUMPING STATION),",,,,,,,,,,,,,,,,,,,,,,,,
,,"VILLAGE- CHEHEDI, TALUKA-",,,,,,,,,,,,,,,,,,,,,,,,
,,"NASHIK, DISTRICT- NASHIK.",,,,,,,,,,,,,,,,,,,,,,,,
2661,,DARNA RIVER AT ASWALI ( DARNA,,MAHARASHTRA,17.0,,,34.0,,,5.9,,,7.2,,,7.4,,,8.3,,,181,,,458
,,"DAM),VILLAGE- ASWALI,TALUKA-",,,,,,,,,,,,,,,,,,,,,,,,
,,"IGATPURI,DISTRICT- NASHIK.",,,,,,,,,,,,,,,,,,,,,,,,
2662,,DARNA RIVER AT MES SITE,,MAHARASHTRA,17.0,,,34.0,,,5.7,,,7.3,,,7.4,,,8.1,,,158,,,560
,,"PUMPING STATION, VILLAGE-",,,,,,,,,,,,,,,,,,,,,,,,
,,"BHAGUR, TALUKA- NASHIK,",,,,,,,,,,,,,,,,,,,,,,,,
,,DISTRICT- NASHIK.,,,,,,,,,,,,,,,,,,,,,,,,
2663,,DARNA RIVER AT BHAGUR,,MAHARASHTRA,17.0,,,34.0,,,5.8,,,7.0,,,7.2,,,8.4,,,154,,,531
,,PUMPING STATION NEAR,,,,,,,,,,,,,,,,,,,,,,,,
,,"PANDHURLI BRIDGE, VILLAGE-",,,,,,,,,,,,,,,,,,,,,,,,
,,"BHAGUR,TALUKA-",,,,,,,,,,,,,,,,,,,,,,,,
,,"NASHIK,DISTRICT- NASHIK.",,,,,,,,,,,,,,,,,,,,,,,,
2664,,"DARNA RIVER AT SANSARI,",,MAHARASHTRA,17.0,,,34.0,,,5.4,,,7.2,,,6.5,,,8.6,,,181,,,516
,,"VILLAGE- SANSARI,TALUKA-",,,,,,,,,,,,,,,,,,,,,,,,
,,"NASHIK,DISTRICT- NASHIK.",,,,,,,,,,,,,,,,,,,,,,,,
"Station
Code",LOCATION,,,STATE,"Temperature
(0 C)",,"Dissolved Oxygen
(mg/ L)",,pH,,"Conductivity
(µmho/ Cm)",,,Bio-Chemical,,,"Nitrate
(mg/ L)",,"Faecal Coliform
(MPN/ 100 mL)",,,,"Total Coliform
(MPN/ 100 mL)",,,
,,,,,,,,,,,,,,Oxygen Demand,,,,,,,,,,,,
,,,,,,,,,,,,,,(mg/ L),,,,,,,,,,,,
,,,,,,,> 5.0 mg/ L,,6.5 - 8.5,,,,< 3.0 mg/ L,,,,,,,"< 2500 MPN/ 100
mL",,,,,,
,,,,,Min,Max,Min,Max,Min,Max,Min,Max,Min,,Max,,Min,Max,Min,,Max,,Min,Max,,
1153,,KRISHNA RIVER AT RAJAPUR,,MAHARASHTRA,18.0,23.0,5.2,7.1,6.6,8.1,135,821,2.0,,3.0,,0.3,1.9,4,,17,,33,170,,
,,"WEIR, VILLAGE- RAJAPUR,",,,,,,,,,,,,,,,,,,,,,,,,
,,"TALUKA- SHIROL, DISTRICT-",,,,,,,,,,,,,,,,,,,,,,,,
,,KOLHAPUR.,,,,,,,,,,,,,,,,,,,,,,,,
36,,KRISHNA RIVER AT KRISHNA,,MAHARASHTRA,21.0,31.0,3.8,6.6,7.6,8.4,75,366,3.0,,8.0,,0.3,2.9,80,,250,,550,1600,,
,,"BRIDGE, ( KRISHNA RIVER AT",,,,,,,,,,,,,,,,,,,,,,,,
,,"NH-4 BRIDGE ) VILLAGE- KARAD,",,,,,,,,,,,,,,,,,,,,,,,,
,,"TALUKA- KARAD, DISTRICT-",,,,,,,,,,,,,,,,,,,,,,,,
,,SATARA.,,,,,,,,,,,,,,,,,,,,,,,,
37,,"KRISHNA RIVER AT MAIGHAT,",,MAHARASHTRA,21.0,22.0,6.1,7.2,6.9,8.1,109,784,2.0,,2.8,,0.1,1.0,4,,17,,21,150,,
,,"VILLAGE- GAWALI GALLY,",,,,,,,,,,,,,,,,,,,,,,,,
,,"TALUKA- MIRAJ, DISTRICT-",,,,,,,,,,,,,,,,,,,,,,,,
,,SANGLI.,,,,,,,,,,,,,,,,,,,,,,,,
1906,,"KRISHNA RIVER AT WALWA, D/S",,MAHARASHTRA,20.0,29.0,4.3,7.2,6.8,8.0,113,60290,2.0,,13.0,,0.2,1.8,4,,70,,17,540,,
,,OF ISLAMPUR NEAR VITHAL,,,,,,,,,,,,,,,,,,,,,,,,
,,"TEMPLE, VILLAGE- WALWA,",,,,,,,,,,,,,,,,,,,,,,,,
,,"TALUKA- WALWA, DISTRICT-",,,,,,,,,,,,,,,,,,,,,,,,
,,SANGLI.,,,,,,,,,,,,,,,,,,,,,,,,
1310,,KRISHNA RIVER AT,,MAHARASHTRA,19.0,23.0,5.8,7.0,6.7,7.9,119,768,1.8,,3.2,,0.2,1.8,4,,22,,46,240,,
,,KURUNDWAD NEAR SANTAJI,,,,,,,,,,,,,,,,,,,,,,,,
,,"GHORPADE GHAT , VILLAGE-",,,,,,,,,,,,,,,,,,,,,,,,
,,"NARSHINGWADI, KURUNDWAD,",,,,,,,,,,,,,,,,,,,,,,,,
,,"TALUKA- SHIROL, DISTRICT-",,,,,,,,,,,,,,,,,,,,,,,,
,,KOLHAPUR.,,,,,,,,,,,,,,,,,,,,,,,,
2190,,"KRISHNA RIVER AT WAI,",,MAHARASHTRA,22.0,28.0,3.6,6.4,7.7,8.4,268,462,3.0,,7.5,,0.2,2.9,110,,200,,900,1600,,
,,"VILLAGE- WAI,TALUKA-",,,,,,,,,,,,,,,,,,,,,,,,
,,"WAI,DISTRICT- SATARA.",,,,,,,,,,,,,,,,,,,,,,,,
2187,,KRISHNA RIVER AT KSHETRA,,MAHARASHTRA,21.0,25.0,4.1,6.4,7.8,8.4,314,575,3.0,,6.2,,0.2,4.4,35,,250,,900,1600,,
,,"MAHULI, VILLAGE- KSHETRA-",,,,,,,,,,,,,,,,,,,,,,,,
,,"MAHULI,TALUKA- MAHULI,",,,,,,,,,,,,,,,,,,,,,,,,
,,DISTRICT- SATARA.,,,,,,,,,,,,,,,,,,,,,,,,
2188,,KRISHNA RIVER AT KRISHNA-,,MAHARASHTRA,20.0,26.0,4.1,6.8,7.7,8.4,241,638,2.8,,7.5,,0.2,4.4,95,,350,,900,1600,,
,,"VENNA SANGAM MAHULI ,",,,,,,,,,,,,,,,,,,,,,,,,
,,"VILLAGE- MAHULI,TALUKA-",,,,,,,,,,,,,,,,,,,,,,,,
,,"MAHULI, DISTRICT- SATARA.",,,,,,,,,,,,,,,,,,,,,,,,
"Station
Code",LOCATION,,,STATE,,,"Temperature
(0 C)",,,,,,"Dissolved Oxygen
(mg/ L)",,,,,,pH,,,,,,"Conductivity
(µmho/ Cm)",
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,> 5.0 mg/ L,,,,,,6.5 - 8.5,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,Min,,,Max,,,Min,,,Max,,,Min,,,Max,,,Min
1181,,KRISHNA AT D/S OF,,KARNATAKA,,,28.0,,,31.0,,,6.5,,,10.2,,,7.4,,,8.7,,,330,
,,"NARAYANPURA DAM,",,,,,,,,,,,,,,,,,,,,,,,,
,,KARNATAKA,,,,,,,,,,,,,,,,,,,,,,,,
1182,,KRISHNA AT U/S OF,,KARNATAKA,,,22.0,,,33.0,,,5.8,,,8.1,,,7.1,,,8.1,,,320,
,,"UGARKHURD BARRAGE,",,,,,,,,,,,,,,,,,,,,,,,,
,,KARNATAKA,,,,,,,,,,,,,,,,,,,,,,,,
1889,,KRISHNA - ANKALI BRIDGE,,KARNATAKA,,,22.0,,,31.0,,,6.2,,,8.1,,,7.2,,,8.1,,,310,
,,ALONG CHIKKODI KAGWAD,,,,,,,,,,,,,,,,,,,,,,,,
,,ROAD,,,,,,,,,,,,,,,,,,,,,,,,
1181,,KRISHNA AT D/S OF,,KARNATAKA,,,28.0,,,31.0,,,6.5,,,10.2,,,7.4,,,8.7,,,330,
,,"NARAYANPURA DAM,",,,,,,,,,,,,,,,,,,,,,,,,
,,KARNATAKA,,,,,,,,,,,,,,,,,,,,,,,,
1170,,KRISHNA AT D/S OF DEVASAGAR,,KARNATAKA,,,24.0,,,30.0,,,7.2,,,8.2,,,7.7,,,8.6,,,971,
,,"BDG., KARNATAKA",,,,,,,,,,,,,,,,,,,,,,,,
1028,,"KRISHNA AT TINTINI BRIDGE,",,KARNATAKA,,,25.0,,,32.0,,,7.0,,,7.6,,,7.8,,,8.5,,,715,
,,KARNATAKA,,,,,,,,,,,,,,,,,,,,,,,,
2781,,KRISHNA AT D/S OF ALAMATTI,,KARNATAKA,,,29.0,,,36.0,,,6.4,,,10.1,,,7.2,,,8.6,,,320,
,,"DAM, KARNATAKA",,,,,,,,,,,,,,,,,,,,,,,,
1784,,"THANGADI , MAHABOOBNAGAR",,TELANGANA,,,26.0,,,30.0,,,4.0,,,6.4,,,7.3,,,8.2,,,670,
,,"DIST., A.P",,,,,,,,,,,,,,,,,,,,,,,,
1175,,KRISHNA AFTER CONFL. WITH,,"ANDHRA
PRADESH",,,18.0,,,29.0,,,6.0,,,7.2,,,7.0,,,8.1,,,282,
,,"TUNGABHADRA,",,,,,,,,,,,,,,,,,,,,,,,,
,,SANGAMESHWA,,,,,,,,,,,,,,,,,,,,,,,,
39,,"KRISHNA AT GADWAL BRIDGE,",,TELANGANA,,,26.0,,,30.0,,,4.0,,,6.6,,,7.5,,,8.3,,,680,
,,A.P.,,,,,,,,,,,,,,,,,,,,,,,,
1465,,KRISHNA AT WADAPALLY AFTER,,TELANGANA,,,17.0,,,31.0,,,6.0,,,7.8,,,7.8,,,8.6,,,433,
,,"CONFL. WITH R. MUSI, A.",,,,,,,,,,,,,,,,,,,,,,,,
1786,"VEDADRI , GUNTUR DIST., A.P",,,,ANDHRA,,22.0,,,29.0,,,6.4,,,7.5,,,7.4,,,8.4,,,528,
,,,,,PRADESH,,,,,,,,,,,,,,,,,,,,,
1787,,"AMARAVATI , GUNTUR DIST.,",,,ANDHRA,,18.0,,,26.0,,,6.2,,,7.6,,,7.5,,,8.5,,,352,
,,A.P,,,PRADESH,,,,,,,,,,,,,,,,,,,,,
25,"KRISHNA AT VIJAYWADA, A.P.",,,,ANDHRA,,23.0,,,29.0,,,6.8,,,7.4,,,7.2,,,8.5,,,283,
,,,,,PRADESH,,,,,,,,,,,,,,,,,,,,,
3083,,"KRISHNA D/S OF SRISHAILAM,",,,ANDHRA,,18.0,,,27.0,,,6.1,,,7.3,,,7.4,,,8.1,,,263,
,,"KURNOOL, A.P.",,,PRADESH,,,,,,,,,,,,,,,,,,,,,
1782,,"HAMSALA DEEVI , GUNTUR DIST,",,,ANDHRA,,23.0,,,30.0,,,5.9,,,7.2,,,7.2,,,8.1,,,26600,
,,A.P,,,PRADESH,,,,,,,,,,,,,,,,,,,,,
"Station
Code",LOCATION,,,STATE,"Temperature
(0 C)",,"Dissolved Oxygen
(mg/ L)",,pH,,"Conductivity
(µmho/ Cm)",,,Bio-Chemical,,,"Nitrate
(mg/ L)",,"Faecal Coliform
(MPN/ 100 mL)",,,,"Total Coliform
(MPN/ 100 mL)",,,
,,,,,,,,,,,,,,Oxygen Demand,,,,,,,,,,,,
,,,,,,,,,,,,,,(mg/ L),,,,,,,,,,,,
,,,,,,,> 5.0 mg/ L,,6.5 - 8.5,,,,< 3.0 mg/ L,,,,,,,"< 2500 MPN/ 100
mL",,,,,,
,,,,,Min,Max,Min,Max,Min,Max,Min,Max,Min,,Max,,Min,Max,Min,,Max,,Min,Max,,
1904,,PANCHAGANGA RIVER AT U/S OF,,MAHARASHTRA,18.0,32.0,2.9,7.1,6.8,7.7,75,840,2,,19,,0.12,2.41,5,,110,,48,920,,
,,KOLHAPUR TOWN NEAR BALINGA,,,,,,,,,,,,,,,,,,,,,,,,
,,"PUMPING STATION, VILLAGE-",,,,,,,,,,,,,,,,,,,,,,,,
,,"BALINGA, TALUKA- KARVIR,",,,,,,,,,,,,,,,,,,,,,,,,
,,DISTRICT- KOLHAPUR.,,,,,,,,,,,,,,,,,,,,,,,,
1905,,PANCHAGANGA RIVER AT D/S OF,,MAHARASHTRA,20.0,32.0,3.0,7.2,6.3,7.8,105,1130,2,,20,,0.12,2.04,6,,79,,70,920,,
,,KOLHAPUR TOWN AT GANDHI,,,,,,,,,,,,,,,,,,,,,,,,
,,NAGAR NEAR NH-4 BRIDGE AND,,,,,,,,,,,,,,,,,,,,,,,,
,,"MIDC, VILLAGE- UCHEGAON,",,,,,,,,,,,,,,,,,,,,,,,,
,,"TALUKA- KOLHAPUR, DISTRICT-",,,,,,,,,,,,,,,,,,,,,,,,
,,KOLHAPUR.,,,,,,,,,,,,,,,,,,,,,,,,
1189,,BHIMA RIVER AT PUNE (MUTHA,,MAHARASHTRA,22.0,29.0,1.2,5.1,7.0,8.3,170,632,5,,28,,0.03,8.40,95,,275,,550,1600,,
,,RIVER) AT U/S OF VITHALWADI,,,,,,,,,,,,,,,,,,,,,,,,
,,"NEAR SHANKAR MANDIR,",,,,,,,,,,,,,,,,,,,,,,,,
,,"VILLAGE- VITHALWADI, TALUKA-",,,,,,,,,,,,,,,,,,,,,,,,
,,"HAWELI, DISTRICT- PUNE.",,,,,,,,,,,,,,,,,,,,,,,,
2655,,BHIMA RIVER AT KOREGAON,,MAHARASHTRA,21.0,29.0,1.8,6.1,7.1,8.6,172,1117,3,,14,,0.13,3.20,20,,250,,350,900,,
,,"NEAR KOREGAON BRIDGE,",,,,,,,,,,,,,,,,,,,,,,,,
,,"VILLAGE- KOREGAON,TALUKA-",,,,,,,,,,,,,,,,,,,,,,,,
,,"SHIRUR, DISTRICT- PUNE.",,,,,,,,,,,,,,,,,,,,,,,,
2656,,BHIMA RIVER- BACKWATER OF,,MAHARASHTRA,23.0,30.0,4.1,6.2,7.2,8.6,273,821,2,,6,,0.00,2.10,8,,170,,350,550,,
,,"UJANI DAM, NEAR RAW WATER",,,,,,,,,,,,,,,,,,,,,,,,
,,"PUMP HOUSE, VILLAGE-",,,,,,,,,,,,,,,,,,,,,,,,
,,"KUMBARGAON, TALUKA-",,,,,,,,,,,,,,,,,,,,,,,,
,,"INDAPUR, DISTRICT- PUNE.",,,,,,,,,,,,,,,,,,,,,,,,
1190,,BHIMA RIVER AT D/S OF,,MAHARASHTRA,23.0,29.0,0.0,4.6,7.0,8.5,394,625,8,,17,,0.02,8.00,250,,1600,,1800,1800,,
,,"BUNDGARDEN, VILLAGE -",,,,,,,,,,,,,,,,,,,,,,,,
,,"YERWADA,TALUKA- HAWELI,",,,,,,,,,,,,,,,,,,,,,,,,
,,DISTRICT- PUNE.,,,,,,,,,,,,,,,,,,,,,,,,
1191,,BHIMA RIVER AFTER,,MAHARASHTRA,23.0,29.0,4.1,6.6,7.2,8.5,326,1002,2,,9,,0.02,7.60,14,,130,,350,550,,
,,CONFLUENCE WITH MULA-,,,,,,,,,,,,,,,,,,,,,,,,
,,MUTHA AT PARGAON NEAR,,,,,,,,,,,,,,,,,,,,,,,,
,,"VASANT BANDARA,VILLAGE-",,,,,,,,,,,,,,,,,,,,,,,,
,,"PARGAON,TALUKA- DAUND,",,,,,,,,,,,,,,,,,,,,,,,,
,,DISTRICT- PUNE.,,,,,,,,,,,,,,,,,,,,,,,,
1192,,BHIMA RIVER AT DAUND NEAR,,MAHARASHTRA,23.0,29.0,4.2,6.2,7.3,8.5,315,999,3,,7,,0.08,7.70,30,,195,,425,1600,,
,,"MAHADEV TEMPLE,VILLAGE-",,,,,,,,,,,,,,,,,,,,,,,,
"Station
Code",LOCATION,,,STATE,,,"Temperature
(0 C)",,,,,,"Dissolved Oxygen
(mg/ L)",,,,,,pH,,,,,,"Conductivity
(µmho/ Cm)",
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,> 5.0 mg/ L,,,,,,6.5 - 8.5,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,Min,,,Max,,,Min,,,Max,,,Min,,,Max,,,Min
,,"DAUND, TALUKA- DAUND,",,,,,,,,,,,,,,,,,,,,,,,,
,,DISTRICT- PUNE.,,,,,,,,,,,,,,,,,,,,,,,,
1188,,BHIMA RIVER AT NARSINGPUR,,MAHARASHTRA,,,25.0,,,26.0,,,4.5,,,4.8,,,8.0,,,8.2,,,621,
,,NEAR SANGAM BRIDGE AFTER,,,,,,,,,,,,,,,,,,,,,,,,
,,"CONFLUENCE WITH NIRA,",,,,,,,,,,,,,,,,,,,,,,,,
,,"VILLAGE- NARSINGPUR, TALUKA-",,,,,,,,,,,,,,,,,,,,,,,,
,,"MALSHIROS, DISTRICT- SOLAPUR.",,,,,,,,,,,,,,,,,,,,,,,,
28,,BHIMA RIVER AT TAKLI NEAR,,MAHARASHTRA,,,19.0,,,26.0,,,3.9,,,6.9,,,7.2,,,8.9,,,83,
,,"KARNATAKA BORDER, VILLAGE-",,,,,,,,,,,,,,,,,,,,,,,,
,,"TAKALI, TALUKA- SOUTH",,,,,,,,,,,,,,,,,,,,,,,,
,,"SOLAPUR, DISTRICT- SOLAPUR.",,,,,,,,,,,,,,,,,,,,,,,,
1183,,BHIMA AT D/S OF ROAD BRIDGE,,KARNATAKA,,,26.0,,,28.0,,,6.8,,,7.9,,,8.0,,,8.4,,,652,
,,"AT GANGAPUR VILLAGE,",,,,,,,,,,,,,,,,,,,,,,,,
,,KARNATAKA,,,,,,,,,,,,,,,,,,,,,,,,
1184,,BHIMA AT FEROZABAD VILLAGE,,KARNATAKA,,,27.0,,,28.0,,,6.0,,,7.8,,,8.3,,,8.5,,,662,
,,"(D/S), KARNATAKA",,,,,,,,,,,,,,,,,,,,,,,,
1167,,BHIMA AT D/S OF BDG. NEAR,,KARNATAKA,,,28.0,,,38.0,,,7.0,,,7.8,,,7.7,,,8.6,,,580,
,,"YADGIR, KARNATAKA",,,,,,,,,,,,,,,,,,,,,,,,
1888,,BHIMA RIVER AT CONFLUENCE OF,,KARNATAKA,,,26.0,,,28.0,,,6.0,,,7.8,,,8.3,,,8.5,,,626,
,,JEWARGI TOWN SEWAGE,,,,,,,,,,,,,,,,,,,,,,,,
,,DISPOSAL POINT,,,,,,,,,,,,,,,,,,,,,,,,
1177,,MUNERU BEFORE CONFL. WITH,,,ANDHRA,,27.0,,,31.0,,,6.5,,,7.0,,,7.2,,,8.5,,,504,
,,"KRISHNA, NANDIGAMA, A.P.",,,PRADESH,,,,,,,,,,,,,,,,,,,,,
1178,,PALLERU BEFORE CONFL. WITH,,,ANDHRA,,22.0,,,29.0,,,6.4,,,7.5,,,7.2,,,8.5,,,586,
,,"KRISHNA, JAGGAYYAPET, A",,,PRADESH,,,,,,,,,,,,,,,,,,,,,
"Station
Code",LOCATION,,,STATE,"Temperature
(0 C)",,"Dissolved Oxygen
(mg/ L)",,pH,,"Conductivity
(µmho/ Cm)",,,Bio-Chemical,,,"Nitrate
(mg/ L)",,"Faecal Coliform
(MPN/ 100 mL)",,,,"Total Coliform
(MPN/ 100 mL)",,,
,,,,,,,,,,,,,,Oxygen Demand,,,,,,,,,,,,
,,,,,,,,,,,,,,(mg/ L),,,,,,,,,,,,
,,,,,,,> 5.0 mg/ L,,6.5 - 8.5,,,,< 3.0 mg/ L,,,,,,,"< 2500 MPN/ 100
mL",,,,,,
,,,,,Min,Max,Min,Max,Min,Max,Min,Max,Min,,Max,,Min,Max,Min,,Max,,Min,Max,,
1163,,GHATPRABHA AT,,KARNATAKA,25.0,30.0,5.0,7.8,6.9,7.8,259,760,0.2,,1.5,,0.88,18.20,110,,900,,170,1600,,
,,W.A. POINT TO,,,,,,,,,,,,,,,,,,,,,,,,
,,"GOKAK TOWN,",,,,,,,,,,,,,,,,,,,,,,,,
,,KARNATAKA,,,,,,,,,,,,,,,,,,,,,,,,
1187,,MALPRABHA AT,,KARNATAKA,21.0,32.0,5.1,8.8,6.8,7.9,190,410,0.5,,4.0,,0.30,4.20,500,,50000,,900,90000,,
,,D/S OF,,,,,,,,,,,,,,,,,,,,,,,,
,,KHANAPUR,,,,,,,,,,,,,,,,,,,,,,,,
,,"VILLAGE,",,,,,,,,,,,,,,,,,,,,,,,,
,,KARNATAKA,,,,,,,,,,,,,,,,,,,,,,,,
1164,,MALPRABHA AT,,KARNATAKA,21.0,32.0,5.6,9.4,7.1,8.2,200,780,0.4,,5.6,,0.46,5.59,140,,900,,500,1600,,
,,WATER ABSTR.,,,,,,,,,,,,,,,,,,,,,,,,
,,"PT. TO HUBLI,",,,,,,,,,,,,,,,,,,,,,,,,
,,"DHARWAR, K",,,,,,,,,,,,,,,,,,,,,,,,
1186,,MALPRABHA AT,,KARNATAKA,22.0,32.0,5.6,9.2,7.1,8.1,330,1520,0.4,,4.5,,0.36,14.60,140,,900,,280,1600,,
,,D/S OF AIHOLE,,,,,,,,,,,,,,,,,,,,,,,,
,,"TOWN,",,,,,,,,,,,,,,,,,,,,,,,,
,,KARNATAKA,,,,,,,,,,,,,,,,,,,,,,,,
2764,,MALPRABHA AT,,KARNATAKA,22.0,31.0,4.5,9.5,7.0,8.1,346,1520,0.4,,3.5,,0.38,8.02,220,,900,,280,1600,,
,,"BADAMI BRIDGE,",,,,,,,,,,,,,,,,,,,,,,,,
,,KARNATAKA,,,,,,,,,,,,,,,,,,,,,,,,
1029,,TUNGHABHADRA,,KARNATAKA,7.0,30.0,6.8,7.6,7.5,8.3,112,420,2.4,,2.9,,0.20,0.45,500,,1400,,1400,2800,,
,,AT HARALAHALLI,,,,,,,,,,,,,,,,,,,,,,,,
,,"BRIDGE,",,,,,,,,,,,,,,,,,,,,,,,,
,,KARNATAKA,,,,,,,,,,,,,,,,,,,,,,,,
29,,TUNGHABHADRA,,KARNATAKA,21.0,26.0,6.8,7.8,7.0,8.5,2,481,1.1,,2.6,,0.20,0.20,22,,900,,86,1800,,
,,"AT ULLANUR,",,,,,,,,,,,,,,,,,,,,,,,,
,,KARNATAKA,,,,,,,,,,,,,,,,,,,,,,,,
38,,TUNGHABHADRA,,KARNATAKA,25.0,28.0,6.8,7.6,7.4,8.3,82,310,2.4,,3.0,,0.20,0.70,700,,1700,,1600,3500,,
,,AT HONNALI,,,,,,,,,,,,,,,,,,,,,,,,
,,"BRIDGE,",,,,,,,,,,,,,,,,,,,,,,,,
,,KARNATAKA,,,,,,,,,,,,,,,,,,,,,,,,
2767,,TUNGABHADRA,,KARNATAKA,7.0,29.0,6.9,7.7,7.3,8.2,108,506,2.5,,3.0,,0.20,0.87,500,,1700,,900,3000,,
,,"AT U/S OF HPF,",,,,,,,,,,,,,,,,,,,,,,,,
,,KARNATAKA,,,,,,,,,,,,,,,,,,,,,,,,
"Station
Code",LOCATION,,,STATE,"Temperature
(0 C)",,,,,,"Dissolved Oxygen
(mg/ L)",,,,,,pH,,,,,,"Conductivity
(µmho/ Cm)",,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,> 5.0 mg/ L,,,,,,6.5 - 8.5,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Min,,,Max,,,Min,,,Max,,,Min,,,Max,,,Min,,
2768,,TUNGABHADRA,,KARNATAKA,6.0,,,30.0,,,4.6,,,7.0,,,7.0,,,8.2,,,144,,,2700
,,"AT D/S OF HPF,",,,,,,,,,,,,,,,,,,,,,,,,
,,KARNATAKA,,,,,,,,,,,,,,,,,,,,,,,,
2769,,TUNGABHADRA,,KARNATAKA,6.0,,,30.0,,,4.6,,,7.0,,,7.5,,,8.2,,,110,,,1260
,,AT JACKWELL,,,,,,,,,,,,,,,,,,,,,,,,
,,"POINT,",,,,,,,,,,,,,,,,,,,,,,,,
,,KARNATAKA,,,,,,,,,,,,,,,,,,,,,,,,
2770,,TUNGABHADRA,,KARNATAKA,7.0,,,29.0,,,5.5,,,7.0,,,7.3,,,8.1,,,140,,,520
,,AT HARIHAR,,,,,,,,,,,,,,,,,,,,,,,,
,,WATER SUPPLY,,,,,,,,,,,,,,,,,,,,,,,,
,,"INTAKE, KARNAT",,,,,,,,,,,,,,,,,,,,,,,,
2776,,TUNGABHADRA,,KARNATAKA,22.0,,,26.0,,,6.8,,,7.8,,,7.0,,,8.5,,,280,,,510
,,AT D/S OF,,,,,,,,,,,,,,,,,,,,,,,,
,,"GANGAWATHI,",,,,,,,,,,,,,,,,,,,,,,,,
,,KARNATAKA,,,,,,,,,,,,,,,,,,,,,,,,
