,table,,table,,page,
10107,,"RIVER DAMODAR AT ANDAL
U/S, BURDWAN","WEST
BENGAL",,20.0,
10108,,"RIVER DAMODAR AT ANDAL
D/S, BURDWAN","WEST
BENGAL",,20.5,
10109,,"RIVER DAMODAR AT ASANSOL
U/S, BURDWAN","WEST
BENGAL",,21.0,
10110,,"RIVER DAMODAR AT DURGAPUR
U/S, BURDWAN","WEST
BENGAL",,20.5,
10111,,"RIVER DAMODAR AT RANIGANJ
D/S, BURDWAN","WEST
BENGAL",,20.0,
2527,,"RIVER DAMODAR AT WATER
INTAKE POINT FOR BURDWAN
TOWN, BURDWAN","WEST
BENGAL",,20.0,
"STATI
ON
CODE",,"NAME OF MONITORING
LOCATION","STATE
NAME",,"TEMPERATURE
(°C)",
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,MIN
,PRIMARY WATER QUALITY CRITERIA NOTIFIED,,,,,
,"UNDER E(P) RULES, 1986",,,,,
2517,,"RIVER MATHA BHANGA,
GOBINDAPUR, NADIA","WEST
BENGAL",,21.5,
2534,,"RIVER MAYURAKSHI AT WATER
INTAKE POINT FOR SURI TOWN,
BIRBHUM","WEST
BENGAL",,22.0,
30091,,"RIVER CHURNI AT GADE BORDER
(BANGLADESH - INDIA BORDER),
NADIA, WEST BENGAL","WEST
BENGAL",,28.0,
1764,,"RIVER CHURNI D/S OF
RANAGHAT TOWN, WEST
BENGAL","WEST
BENGAL",,20.5,
2518,,"RIVER CHURNI, MAJHADIA,
NADIA","WEST
BENGAL",,22.0,
30064,,"RIVER CHURNI AT BIJOYPUR
(WEST BENGAL)","WEST
BENGAL",,25.0,
2541,,"RIVER DWARAKESHWAR AT
WATER INTAKE POINT FOR
BANKURA TOWN","WEST
BENGAL",,20.0,
2514,,"RIVER JALANGI, D/S OF KRISHNA
NAGAR, NADIA","WEST
BENGAL",,21.0,
1337,,"RIVER RUPNARAYAN BEFORE
CONFL. TO GANGA NEAR
GEONKHALI,MEDINIPORE, WEST
BENGAL","WEST
BENGAL",,22.0,
2509,,"RIVER D/S OF RUPNARAYAN AT
KOLAGHAT, NEAR KOLAGHAT
RAIL BRIDGE NO.3,MEDINIPORE","WEST
BENGAL",,19.0,
2531,,"RIVER DWARKA AT U/S OF
TARAPITH AT SADHAK BAMDEB
GHAT, BIRBHUM","WEST
BENGAL",,22.0,
2532,,"RIVER DWARKA AT D/S OF
TARAPITH, SATIGHAT","WEST
BENGAL",,22.0,
30065,,"RIVER DAMODAR AT
DISHERGARH (WEST BENGAL)","WEST
BENGAL",,20.0,
30066,,RIVER DAMODAR AT SINDRI,"WEST
BENGAL",,22.0,
"STATI
ON
CODE",,"NAME OF MONITORING
LOCATION","STATE
NAME",,"TEMPERATURE
(°C)",
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,MIN
,PRIMARY WATER QUALITY CRITERIA NOTIFIED,,,,,
,"UNDER E(P) RULES, 1986",,,,,
2549,,"RIVER BINDYADHARI U/S OF
HAROA BRIDGE, 24
PARGANAS(N)","WEST
BENGAL",,22.0,
2550,,"RIVER BINDYADHARI AT D/S OF
MALANCHA BURNING GHAT","WEST
BENGAL",,20.0,
2507,,"RIVER KANSI D/S OF
MIDNAPORE, NEAR NEW
HANUMAN MANDIR,
GANDHIGHAT, MEDINIPORE(W)","WEST
BENGAL",,20.0,
1946,,"RIVER MAHANANDA AT
SILIGURI, DARJEELING","WEST
BENGAL",,20.0,
2525,,"RIVER MAHANANDA D/S,
RAMGHAT, DARJEELING","WEST
BENGAL",,20.0,
1336,,"RIVER BARAKAR AT ASANSOL
(WATER INTAKE POINT),
BURDWAN,WEST BENGAL","WEST
BENGAL",,21.0,
2572,,"RIVER MAHANANDA AT
THAKURGANJ, KISHANGANJ
ROAD BRIDGE, KISHANGANJ",BIHAR,,16.0,
"STATION
CODE",,"NAME OF
MONITORING
LOCATION","STATE
NAME",,"TEMPERATURE
(°C)",
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,MIN
,PRIMARY WATER QUALITY CRITERIA NOTIFIED,,,,,
,"UNDER E(P) RULES, 1986",,,,,
1717,,"RIVER KODRA DAM,
MOUNT ABU,
RAJASTHAN",RAJASTHAN,,14.5,
4167,,"RIVER BANAS AT
TRIVENI SANGAM,
BHILWARA",RAJASTHAN,,16.5,
4772,,"RIVER KELWARA
RESERVIOR, N/V
KELWARA, TEHSIL-
KUMBHALGARH DIST-
RAJSAMAND,
(UPSTREAM OF KHARI
RIVER)",RAJASTHAN,,17.0,
30086,,"RIVER CHAMBAL AT
GWALIOR ROAD
BRIDGE, UDI, ETAWAH
DIST.","UTTAR
PRADESH",,22.0,
1288,,"RIVER CHAMBAL AT
KOTA U/S (INTAKE PT.
NEAR BARRAGE),
RAJASTHAN",RAJASTHAN,,20.4,
1289,,"RIVER CHAMBAL AT
KOTA D/S (2 KM. FROM
CITY), RAJASTHAN",RAJASTHAN,,20.0,
1413,,"RIVER CHAMBAL AT
RAMESHWARGHAT NR.
SAWAIMADHOPUR,
RAJASTHAN",RAJASTHAN,,18.0,
4769,,"RIVER CHAMBAL, NEAR
CHAMBAL BRIDGE,
DHOLPUR TO MURENA
ROAD, NH-3",RAJASTHAN,,17.0,
"STATION
CODE",,"NAME OF
MONITORING
LOCATION","STATE
NAME",,"TEMPERATURE
(°C)",
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,MIN
,PRIMARY WATER QUALITY CRITERIA NOTIFIED,,,,,
,"UNDER E(P) RULES, 1986",,,,,
10029,,"RIVER CHAMBAL AT
KESHORAIPATAN U/S,
NEAR SHRI RAJESHWAR
MAHADEV TEMPLE,
BUNDI",RAJASTHAN,,20.2,
10030,,"RIVER CHAMBAL AT
KESHORAIPATTAN D/S
NEAR AMBEDKAR
NAGAR, BUNDI",RAJASTHAN,,20.3,
30060,,"RIVER CHAMBAL AT
FISH FARM,
GANDHISAGAR","MADHYA
PRADESH",,20.0,
1418,,"RIVER CHAMBAL AT
GANDHI SAGAR DAM,
RAMPURA, MP","MADHYA
PRADESH",,25.0,
1609,,"RIVER CHAMBAL AT
DHOLPUR, M.P","MADHYA
PRADESH",,18.0,
3308,,"RIVER CHAMBAL AT
JAWNPAWA, FROM
ORIGIN POINT, INDORE","MADHYA
PRADESH",,19.0,
4607,,"RIVER CHAMBAL AT
ITAWA ROAD BRIDGE
BHIND","MADHYA
PRADESH",,18.0,
4610,,"RIVER CHAMBAL AT
100M D/S OF GANDHI
SAGAR DAM.
MANDSAUR","MADHYA
PRADESH",,25.0,
4790,,"RIVER PIPLAAD DAM,
BHAWANI MANDI",RAJASTHAN,,20.2,
4770,,"RIVER KOTHARI AT
MEJA DAM BHILWARA
(UPSTREAM OF
KOTHARI RIVER)",RAJASTHAN,,16.5,
4771,,"RIVER GUWARDI AT
RESERVIOR UPSTREAM
SIDE OF GUWARDI",RAJASTHAN,,16.5,
"STATION
CODE",,"NAME OF
MONITORING
LOCATION","STATE
NAME",,"TEMPERATURE
(°C)",
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,MIN
,PRIMARY WATER QUALITY CRITERIA NOTIFIED,,,,,
,"UNDER E(P) RULES, 1986",,,,,
,,"NALLA (A TRIBUTARY
TO BANAS RIVER)",,,,
4804,,"RIVER BERACH NEAR
VILLAGE-NAGARI,
CHITTORGARH",RAJASTHAN,,16.0,
4175,,"RIVER BERECH, NEAR
HOTEL PADMINI,
CHITTORGARH",RAJASTHAN,,17.0,
4172,,"RIVER GAMBHIRI AT
GHOSUNDA DAM,
CHITTORGARH",RAJASTHAN,,18.0,
4173,,"RIVER GAMBHIRI DAM,
NIMBAHERA-TEHSIL,
CHITTORGARH",RAJASTHAN,,18.0,
4174,,"RIVER GAMBHIRI NEAR
OLD BUS STAND,
CHITTORGARH",RAJASTHAN,,17.0,
4781,,"RIVER KANOTA DAM
VILLAGE SUMEL, TEHSIL-
BASSI",RAJASTHAN,,21.0,
"STATION
CODE",,"NAME OF MONITORING
LOCATION","STATE
NAME",,"TEMPERATURE
(°C)",
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,MIN
,PRIMARY WATER QUALITY CRITERIA NOTIFIED,,,,,
,"UNDER E(P) RULES, 1986",,,,,
1030,,"RIVER BRAHAMPUTRA AT
DIBRUGARH",ASSAM,,20.0,
1262,,"RIVER BRAHAMPUTRA AT
NIMATIGHAT",ASSAM,,16.0,
1526,,"RIVER BRAHMPUTRA RIVER AT
DHENUKHAPAHAR",ASSAM,,22.0,
1031,,"RIVER BRAHAMPUTRA AT
PANDU",ASSAM,,19.0,
1299,,"RIVER BRAHAMPUTRA AT
JOGIJHOGA NEAR BRIDGE",ASSAM,,26.0,
2069,,"RIVER BRAHMPUTRA NEAR
WATER INTAKE POINT AT
KACHARIGHAT, PANBAZAR,
GUWAHATI",ASSAM,,19.0,
2064,,"RIVER BRAHMAPUTRA AT
CHANDRAPUR, GUWAHATI,
ASSAM",ASSAM,,19.0,
2067,,"RIVER BRAHMPUTRA AT
SUALKUCHI, DIST. KAMRUP",ASSAM,,22.0,
2066,,"RIVER BRAHMAPUTRA AT
DHUBRI, ASSAM",ASSAM,,22.0,
3781,,"RIVER BRAHAMPUTRA AT
BOGIBEEL BRIDGE, BOGIBEEL,
DIBRUGARH",ASSAM,,22.0,
4004,,"RIVER BRAHAMPUTRA AT
BISWANATH GHAT",ASSAM,,18.0,
"STATION
CODE",,"NAME OF MONITORING
LOCATION","STATE
NAME",,"TEMPERATURE
(°C)",
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,MIN
,PRIMARY WATER QUALITY CRITERIA NOTIFIED,,,,,
,"UNDER E(P) RULES, 1986",,,,,
1422,,"RIVER BURHIDIHING AT
MARGHERITA, ASSAM",ASSAM,,20.0,
2062,,"RIVER BURHIDIHING NEAR
DULIAJAN AT D/S, TINSUKIA,
ASSAM",ASSAM,,22.0,
2230,,"RIVER BURHIDIHING AT
DULIAJAN (INTAKE POINT OF
OIL INDIA LTD.), ASSAM",ASSAM,,22.0,
1796,,"RIVER DHANSIRI AT FULL
NAGARJAN",NAGALAND,,20.0,
1797,,"RIVER DHANSIRI AT BRIDGE
NEAR PURANA BAZAAR,
NAGALAND",NAGALAND,,21.0,
1800,,"RIVER DHANSIRI AT NUTON
BASTI",NAGALAND,,19.0,
1798,,"RIVER DHANSIRI AT NEAR
CHECK GATE (DIMAPUR
KHUTKHUTI ROAD)",NAGALAND,,20.0,
"STATION
CODE",,"NAME OF MONITORING
LOCATION","STATE
NAME",,"TEMPERATURE
(°C)",
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,MIN
,PRIMARY WATER QUALITY CRITERIA NOTIFIED,,,,,
,"UNDER E(P) RULES, 1986",,,,,
1799,,"RIVER DHANSIRI AT TOWN
BOUNDARY BRIDGE (DIPHU
ROAD)",NAGALAND,,15.0,
1928,,"RIVER DHANSIRI AT
NAGALAND-ASSAM BORDER,
DIMAPUR",NAGALAND,,20.0,
1259,,"RIVER DHANSIRI AT
GOLAGHAT, ASSAM",ASSAM,,21.0,
3764,,"RIVER DHANSIRI NEAR
BRIDGE AT NH-15, DHANSIRI
BHALUKMARI JUNGLE,
UDALGURI",ASSAM,,22.0,
3792,,"RIVER DHANSIRI AT
JAHAIGHAT",ASSAM,,20.0,
30070,,"RIVER DHANSIRI AT GANESH
NAGAR",NAGALAND,,25.0,
30071,,"RIVER DHANSIRI AT
NAGARJAN BRIDGE",NAGALAND,,26.0,
30072,,"RIVER DHANSIRI AT
KHATKATI GATE",NAGALAND,,26.0,
30073,,RIVER DHANSIRI AT BOKAJAN,ASSAM,,-,
30074,,"RIVER DHANSIRI AT
NUMALIGARH",ASSAM,,,
1528,,"RIVER BHARALU AT
GUWAHATI, ASSAM",ASSAM,,20.0,
3759,,"RIVER DIKRONG NEAR
BRIDGE AT NH-52,
BANDARDEWA",ASSAM,,20.0,
3786,,"RIVER GAI NADI AT
SOMARAJAN, DHEMAJI",ASSAM,,22.0,
3807,,"RIVER DIGARU AT NH
CROSSING",ASSAM,,17.0,
1530,,"RIVER DIGBOI AT
LAKHIPATHE, RESERVE
FOREST, DIGBOI, ASSAM",ASSAM,,21.0,
"STATION
CODE",,"NAME OF MONITORING
LOCATION","STATE
NAME",,"TEMPERATURE
(°C)",
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,MIN
,PRIMARY WATER QUALITY CRITERIA NOTIFIED,,,,,
,"UNDER E(P) RULES, 1986",,,,,
2231,,"RIVER DIKHOW AT DIKHOW
BRIDGE SIVASAGAR, ASSAM",ASSAM,,17.0,
3776,,"RIVER DIKHOW AT NAGINI
MORA (INTER-STATE
BOUNDARIES, ASSAM-
NAGALAND)",ASSAM,,17.0,
3778,,"RIVER DIKHOW AT
DIKHOMUKH CONFLUENCE
WITH BRAHAMPUTRA",ASSAM,,20.0,
2524,,"RIVER KALJANI D/S OF
ALIPURDWAR, MUNICIPALITY
DISCHARGE POINT,
COOCHBEHAR","WEST
BENGAL",,22.0,
1298,,"RIVER DISANG AT
GUNDAMGHAT",ASSAM,,16.0,
2058,,"RIVER DISANG AT DILLIGHAT,
DIBRUGARH DIST., ASSAM",ASSAM,,23.0,
4005,,"RIVER DISANG AT NH
CROSSING",ASSAM,,18.0,
3763,,"RIVER GABHARU NEAR
BRIDGE AT NH-52, NEAR
TUMIUKI, SONITPUR",ASSAM,,20.0,
4011,,"RIVER TOCKLAI NEAR BRIDGE
AT JORHAT",ASSAM,,19.0,
4012,,RIVER TUNIA AT D/S BRPL,ASSAM,,24.0,
4329,,"RIVER LARSING NEAR LOCL
DEPO AT MOINARBOND",ASSAM,,19.0,
4331,,"RIVER DHATESHWARI D/S OF
HAILAKANDI",ASSAM,,21.0,
4332,,"RIVER DEMOW AT DEMOW
TOWN",ASSAM,,19.0,
4336,,"RIVER BORSILA AT BORSILA,
DEOPANI, NAMTI",ASSAM,,18.0,
4341,,"RIVER BARNADI NEAR
BRIDGE, NH-52,",ASSAM,,20.0,
"STATION
CODE",,"NAME OF MONITORING
LOCATION","STATE
NAME",,"TEMPERATURE
(°C)",
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,MIN
,PRIMARY WATER QUALITY CRITERIA NOTIFIED,,,,,
,"UNDER E(P) RULES, 1986",,,,,
,,"DUMUNICHOWKI KAMRUP (R
)",,,,
2838,,"RIVER BARAK AT NONEY/IJEI
AT NONEY BRIDGE, NONEY",MANIPUR,,21.0,
2869,,RIVER BARAK AT SENAPATI,MANIPUR,,20.0,
2875,,"RIVER BARAK AT N.H. 53,
TAMENGLONG .",MANIPUR,,18.0,
3106,,"RIVER DIBANG AT ROING,","ARUNACHAL
PRADESH",,-,
3107,,"RIVER DIHING AT MIAO,","ARUNACHAL
PRADESH",,-,
3095,,"RIVER GANGA AT
CHANDRAPUR, ITANAGAR,","ARUNACHAL
PRADESH",,17.6,
3096,,"RIVER DIKRONG AT NIRJULI,","ARUNACHAL
PRADESH",,21.9,
3777,,"RIVER DORIKA NEAR MSW
DUMPING SITE, SIVASAGAR",ASSAM,,19.0,
3105,,"RIVER GAI NADI NEAR HSS
LIKABALI,","ARUNACHAL
PRADESH",,-,
1261,,"RIVER SUBANSIRI AT
GEREKAMUKH (BEFORE
CONFL. WITH BRAH.), ASSAM",ASSAM,,22.0,
3097,,"RIVER SUBANSIRI AT
GERUKAMUKH,","ARUNACHAL
PRADESH",,-,
3098,,"RIVER SIANG AT RANAGHAT,
NEAR RCC BRIDGE,
PASIGHAT,","ARUNACHAL
PRADESH",,-,
4342,,"RIVER BARALIA (NEAR
CHATPUJA GHAT) RANGIA,
KAMRUP (R )",ASSAM,,22.0,
4343,,"RIVER BURADIA (NEAR
BRIDGE ALONG NH-31)
NALBARI",ASSAM,,22.0,
4344,,"RIVER TIHU (NEAR BRIDGE
ALONG NH-31) TIHU,
NALBARI",ASSAM,,20.0,
"STATION
CODE",,"NAME OF MONITORING
LOCATION","STATE
NAME",,"TEMPERATURE
(°C)",
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,MIN
,PRIMARY WATER QUALITY CRITERIA NOTIFIED,,,,,
,"UNDER E(P) RULES, 1986",,,,,
4345,,"RIVER SINGRA (NEAR BRIDGE
ALONG NH-37) BOKO,
KAMRUP (R )",ASSAM,,20.0,
3380,,"RIVER DAMRING (KRISHNEI
RIVER) AT RESUBELPARA",MEGHALAYA,,18.4,
3381,,"RIVER MANDA (DUDHAI
RIVER) AT JAMPA,",MEGHALAYA,,17.0,
3382,,"RIVER MANDA (DUDHAI
RIVER) AT WAGAISI",MEGHALAYA,,17.0,
1802,,"RIVER DIKCHU B/C WITH
TEESTA NEAR NHPC
HYDROELECTRIC POWER
PROJECT",SIKKIM,,9.0,
1930,,"RIVER DZU D/S KOHIMA
TOWN",NAGALAND,,15.0,
1929,,"RIVER CHATHE AT
MEDZIPHEMA, DIMAPUR",NAGALAND,,22.0,
2888,,"RIVER CHATHE NEAR
CHRISTIAN INSTITUTE OF
HEALTH SCIENCES AND
RESEARCH (CIHSR), DIMAPUR",NAGALAND,,18.0,
2891,,"RIVER DZUCHA RU IN
KOHIMA",NAGALAND,,14.0,
2889,,"RIVER DZUDZA RU IN
KOHIMA",NAGALAND,,14.0,
2892,,"RIVER DZUNA RU IN
KOHIMA, ADJOINING THE
NEW KOHIMA MUNICIPAL
COUNCIL SOLID WASTE
MANAGEMENT SITE,
NAGALAND",NAGALAND,,16.0,
2893,,"RIVER DZUNA RU
(CONFLUENCE OF DZUCHA &
DZUNA RU) IN KOHIMA",NAGALAND,,14.0,
4719,,"RIVER TORSA D/S OF
GHUGHUMARI","WEST
BENGAL",,19.0,
"STATION
CODE",,"NAME OF MONITORING
LOCATION","STATE
NAME",,"TEMPERATURE
(°C)",
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,MIN
,PRIMARY WATER QUALITY CRITERIA NOTIFIED,,,,,
,"UNDER E(P) RULES, 1986",,,,,
4724,,RIVER TORSA AT HASIMARA,"WEST
BENGAL",,18.0,
2238,,"RIVER BEKI AT NH-37
CROSSING AT BARPETA
ROAD, ASSAM",ASSAM,,19.0,
3108,,"RIVER BERENG AT
CHOWKHAM,","ARUNACHAL
PRADESH",,-,
1527,,"RIVER BHOGDOI AT JORHAT ,
ASSAM",ASSAM,,19.0,
3769,,"RIVER BHOGDOI (PUJADUBI
GHAT) INTAKE POINT OF
URBAN WATER SUPPLY,
JORHAT",ASSAM,,19.0,
1258,,"RIVER JHANJI AT N.H.
CROSSING JORHAT, ASSAM",ASSAM,,19.0,
2063,,"RIVER JAI BHARALI NEAR
BISWANATH CHARALI,
SONITPUR, ASSAM",ASSAM,,18.0,
2239,,"RIVER SANKOSH DHUBRI,
ASSAM",ASSAM,,23.0,
2890,,RIVER SANO RU IN KOHIMA,NAGALAND,,13.0,
2233,,"RIVER BOGINADI NEAR
BRIDGE NH-52, LAKHIMPUR,
ASSAM",ASSAM,,22.0,
3372,,"RIVER RILANG AT
MAWKYRWAT,",MEGHALAYA,,15.0,
3377,,"RIVER MYNTANG AT
NARTIANG, JAYANTIA HILLS",MEGHALAYA,,12.0,
3378,,"RIVER MYNTANG AT MYNSO,
JAYANTIA HILLS",MEGHALAYA,,12.0,
2050,,"RIVER TLAWNG UPSTREAM
AIZAWL",MIZORAM,,18.0,
2051,,"RIVER TLAWNG
DOWNSTREAM AIZAWL",MIZORAM,,18.0,
2052,,"RIVER TUIRIAL UPPER
CATCHMENT",MIZORAM,,18.0,
"STATION
CODE",,"NAME OF MONITORING
LOCATION","STATE
NAME",,"TEMPERATURE
(°C)",
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,MIN
,PRIMARY WATER QUALITY CRITERIA NOTIFIED,,,,,
,"UNDER E(P) RULES, 1986",,,,,
2053,,"RIVER TUIRIAL LOWER
CATCHMENT",MIZORAM,,18.0,
3709,,RIVER TLAWNG SAIRANG,MIZORAM,,19.0,
3710,,"RIVER SERLUI STREAM, REIEK
KAI, PHE WATER TREATMENT
PLANT",MIZORAM,,18.0,
3711,,"RIVER VAIPUANPHO
STREAM, REIEK KAI",MIZORAM,,18.0,
3712,,"RIVER TUIKUAL
STREAM,REIEK KAI",MIZORAM,,18.0,
3713,,"RIVER SAKHISIH STREAM,
MISSION VENGTHLANG",MIZORAM,,18.0,
3714,,"RIVER TUIRIAL RIVER, U/S NR
SUMANTH VILLAGE",MIZORAM,,10.0,
3715,,"RIVER TUIRIAL RIVER,
AIRFIELD, NR DUMPING
GROUND",MIZORAM,,19.0,
3716,,"RIVER DAMDIAI STREAM,
AIRFIELD AFTER DUMPING
GROUND",MIZORAM,,18.0,
3717,,"RIVER TUIRIAL RIVER,
AIRFIELD AFTER DUMPING
GROUND",MIZORAM,,18.0,
3718,,"RIVER CHITHE STREAM
ARMED VENG NR MINI
SPORTS COMPLEX",MIZORAM,,18.0,
3719,,"RIVER TUIRINI RIVER, SELING",MIZORAM,,12.0,
3720,,"RIVER TUIVAWL NEAR
TUIVAWL BRIDGE, KEIFANG",MIZORAM,,12.0,
3721,,"RIVER LAWIBUAL STREAM,
LAWIBUAL VILLAGE",MIZORAM,,16.0,
3724,,"RIVER CHALLUI, LENGPUI",MIZORAM,,18.0,
3734,,"RIVER TLAWNG
RIVER,UPSTREAM
ZOBAWK,LUNGLEI",MIZORAM,,15.0,
"STATION
CODE",,"NAME OF MONITORING
LOCATION","STATE
NAME",,"TEMPERATURE
(°C)",
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,MIN
,PRIMARY WATER QUALITY CRITERIA NOTIFIED,,,,,
,"UNDER E(P) RULES, 1986",,,,,
3735,,RIVER MAT RIVER,MIZORAM,,17.0,
3736,,"RIVER TLAWNG
RIVER,PIALTHLENG ZOTLANG,
LUNGLEI",MIZORAM,,16.0,
3740,,"RIVER SAIKAH STREAM,
LAWNGTLAI",MIZORAM,,20.0,
3744,,"RIVER CHHIMTUIPUI RIVER,
KAWLCHAW",MIZORAM,,18.0,
3746,,"RIVER TUIKUM RIVER,
SERCHHIP",MIZORAM,,14.0,
3747,,"RIVER SESAH STREAM,
SERCHHIP",MIZORAM,,16.0,
3749,,"RIVER LAHMUN RIVER,
PHAIZAU, MAMIT",MIZORAM,,21.0,
3750,,"RIVER TEIREI RIVER, NEAR
BAWNGVA VIILAGE, MAMIT",MIZORAM,,22.0,
3751,,"RIVER TUT RIVER, NEAR
DAPCHHUAH VILLAGE",MIZORAM,,21.0,
3752,,"RIVER TUICHHUAHAN
STREAM, KOLASIB",MIZORAM,,17.0,
3754,,"RIVER TLAWNG
DOWNSTREAM, BAIRABI",MIZORAM,,16.0,
3756,,"RIVER TIAU RIVER,
CHAMPHAI",MIZORAM,,10.0,
3757,,"RIVER TUIPUI RIVER,
CHAMPHAI",MIZORAM,,10.0,
4110,,"RIVER NONGAL AT
NANGALBIBRA",MEGHALAYA,,20.0,
4113,,RIVER BOLDAMGRE,MEGHALAYA,,20.0,
4114,,"RIVER CHITHE STREAM, NR
SIPMUI'S STP, BETHELEM
VENGTHLANG",MIZORAM,,18.0,
4115,,"RIVER TUIKUAL STREAM, U/S
NR NEW SECRETARIAT
COMPLEX, DINTHAR",MIZORAM,,18.0,
"STATION
CODE",,"NAME OF MONITORING
LOCATION","STATE
NAME",,"TEMPERATURE
(°C)",
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,MIN
,PRIMARY WATER QUALITY CRITERIA NOTIFIED,,,,,
,"UNDER E(P) RULES, 1986",,,,,
4116,,"RIVER TLAWNG AT PHE
WATER RESERVOIR,
TUIKHUAHTLANG, AIZAWL",MIZORAM,,18.0,
4117,,"RIVER PHE WATER
RESERVOIR, TAWIZO STREAM
WATER, RULCHAWM VILLAGE",MIZORAM,,12.0,
4118,,"RIVER TUIRIAL DAM, TUIRIAL
HEPP, SAIPUM VILLAGE",MIZORAM,,18.0,
4119,,"RIVER SERLUI B DAM,
SERLUI'B'HEPP SITE,
BILKHAWTHLIR VILLAGE",MIZORAM,,18.0,
4120,,"RIVER TEIREI RIVER, D/S NR
CONFLUENCE PT WITH
TLAWG RIVER, SAPMARA
VILLAGE",MIZORAM,,22.0,
4121,,"RIVER TLAWNG RIVER,
SUARPUI, BAIRABI HEPP
DAM SITE, BAIRABI VILLAGE",MIZORAM,,13.0,
4122,,"RIVER KHAWTHLANGTUIPUI
RIVER, TLABUNG",MIZORAM,,18.0,
4123,,"RIVER TUIPUI DARZOKAI
RIVER, CHHIMTUIPUI, TUIPUI
D VILLAGE",MIZORAM,,16.0,
4125,,"RIVER TUIPUI, U/S NR
CONFLUENCE PT
KEILUNGLIAH STREAM,
VENGTHAR, CHAMPHAI",MIZORAM,,8.0,
4130,,"RIVER NGENGPUI STREAM,
NR KALADAN MULTI MODAL
RD, NGENGPUI",MIZORAM,,15.0,
4131,,"RIVER CHENGKAWL LUI AT
PHE RESERVOIR, CHAWNHU
VILLAGE",MIZORAM,,19.0,
4132,,"RIVER VAITUI
TUIKHUR,THEIRIAT, LUNGLEI
(WATERFALL- VANVA RIVER)",MIZORAM,,11.0,
"STATION
CODE",,"NAME OF MONITORING
LOCATION","STATE
NAME",,"TEMPERATURE
(°C)",
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,MIN
,PRIMARY WATER QUALITY CRITERIA NOTIFIED,,,,,
,"UNDER E(P) RULES, 1986",,,,,
4304,,"RIVER SDERKARIAH AT
SOHRA (CHERRAPUNJEE)",MEGHALAYA,,14.0,
4305,,"RIVER LAITRYNGEW STREAM
AT LAITRYNGEW",MEGHALAYA,,13.0,
4306,,"RIVER WAHKHLEK KHLEK AT
SAITSOHPEN",MEGHALAYA,,14.1,
4307,,RIVER WAHREW AT MAJAI,MEGHALAYA,,18.0,
4308,,RIVER UMNGI AT JAKREM,MEGHALAYA,,14.0,
4309,,RIVER UMNGI AT UMPUNG,MEGHALAYA,,16.0,
4310,,RIVER RWIANG AT RWIANG,MEGHALAYA,,15.0,
4311,,RIVER KALIPAI AT RYMBAI,MEGHALAYA,,11.0,
4312,,RIVER KMEUM AT RYMBAI,MEGHALAYA,,11.0,
4313,,"RIVER WAIKHRWI AT
MOOKHLOT",MEGHALAYA,,11.1,
4314,,"RIVER KWAI AT SUTNGA,
MAWPUN",MEGHALAYA,,11.0,
4315,,RIVER LUKHA AT KHADDUM,MEGHALAYA,,15.0,
4316,,"RIVER MYNTDU AT
MIHMYNTDU",MEGHALAYA,,13.0,
4317,,RIVER LAMU AT LESHKA,MEGHALAYA,,14.0,
4318,,"RIVER LYNRIANG RIANG AT
LESHKA",MEGHALAYA,,12.0,
4319,,RIVER UMIUREM AT LALE,MEGHALAYA,,15.0,
4320,,RIVER KUPLI AT LOOSKI,MEGHALAYA,,15.0,
4321,,RIVER KUPLI AT KHANDONG,MEGHALAYA,,14.0,
4322,,"RIVER THLUMUWI AT
THLUMUWI",MEGHALAYA,,11.0,
1801,,"RIVER TEESTA A/C OF RIVERS
LACHENCHU AND",SIKKIM,,4.0,
"STATION
CODE",,"NAME OF MONITORING
LOCATION","STATE
NAME",,"TEMPERATURE
(°C)",
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,MIN
,PRIMARY WATER QUALITY CRITERIA NOTIFIED,,,,,
,"UNDER E(P) RULES, 1986",,,,,
,,"LACHUNGCHU AT
CHUNGTHAANG",,,,
1807,,"RIVER TEESTA A/C WITH
RANICHU AT SINGTAM",SIKKIM,,10.5,
1808,,"RIVER TEESTA A/C WITH
RANGICHU AFTER MEETING
THE INDUSTRIAL EFFLUENTS
FROM THE TOWN RANGPO",SIKKIM,,9.0,
